"14    Estudiantes L.P. - Sarmiento Resistencia
Name: Match, dtype: object",bet-at-home,1.91,2.15,7.50
"14    Estudiantes L.P. - Sarmiento Resistencia
Name: Match, dtype: object",bet365,1.86,2.27,8.70
"14    Estudiantes L.P. - Sarmiento Resistencia
Name: Match, dtype: object",Betfair,1.95,2.33,7.38
"14    Estudiantes L.P. - Sarmiento Resistencia
Name: Match, dtype: object",Bethard,1.85,2.40,6.50
"20    NaN
Name: Match, dtype: object",188BET,81.00,13.00,1.04
"27    Brisbane City - Sunshine Coast
Name: Match, dtype: object",18bet,1.36,3.60,9.00
"27    Brisbane City - Sunshine Coast
Name: Match, dtype: object",bet365,1.36,3.75,8.50
"27    Brisbane City - Sunshine Coast
Name: Match, dtype: object",BoyleSports,1.40,3.40,8.50
"27    Brisbane City - Sunshine Coast
Name: Match, dtype: object",bwin,1.43,3.78,7.70
"28    Olympic FC - Magpies Crusaders
Name: Match, dtype: object",18bet,1.09,7.00,16.00
"28    Olympic FC - Magpies Crusaders
Name: Match, dtype: object",bet365,1.10,7.00,21.00
"28    Olympic FC - Magpies Crusaders
Name: Match, dtype: object",BoyleSports,1.14,5.50,17.00
"28    Olympic FC - Magpies Crusaders
Name: Match, dtype: object",bwin,1.13,6.75,17.25
"30    Hartberg - Admira
Name: Match, dtype: object",10Bet,2.25,2.35,4.00
"30    Hartberg - Admira
Name: Match, dtype: object",12BET,2.35,2.30,4.10
"30    Hartberg - Admira
Name: Match, dtype: object",188BET,2.30,2.37,4.33
"30    Hartberg - Admira
Name: Match, dtype: object",18bet,2.30,2.30,4.00
"30    Hartberg - Admira
Name: Match, dtype: object",888sport,2.38,2.30,4.00
"30    Hartberg - Admira
Name: Match, dtype: object",Asianodds,2.35,2.35,4.00
"30    Hartberg - Admira
Name: Match, dtype: object",bet-at-home,2.42,2.46,3.82
"30    Hartberg - Admira
Name: Match, dtype: object",bet365,2.34,2.55,4.22
"30    Hartberg - Admira
Name: Match, dtype: object",Betfair,2.41,2.22,3.95
"30    Hartberg - Admira
Name: Match, dtype: object",Betfred,2.40,2.33,3.85
"31    Rapid Vienna - Altach
Name: Match, dtype: object",10Bet,2.15,2.30,4.35
"31    Rapid Vienna - Altach
Name: Match, dtype: object",12BET,2.25,2.30,4.40
"31    Rapid Vienna - Altach
Name: Match, dtype: object",188BET,2.20,2.40,4.50
"31    Rapid Vienna - Altach
Name: Match, dtype: object",18bet,2.25,2.25,4.40
"31    Rapid Vienna - Altach
Name: Match, dtype: object",888sport,2.25,2.25,4.75
"31    Rapid Vienna - Altach
Name: Match, dtype: object",Asianodds,2.25,2.35,4.30
"31    Rapid Vienna - Altach
Name: Match, dtype: object",bet-at-home,2.34,2.36,4.33
"31    Rapid Vienna - Altach
Name: Match, dtype: object",bet365,2.26,2.50,4.63
"31    Rapid Vienna - Altach
Name: Match, dtype: object",Betfair,2.44,2.11,4.20
"31    Rapid Vienna - Altach
Name: Match, dtype: object",Betfred,2.18,2.33,4.50
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",10Bet,2.20,2.30,4.35
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",12BET,2.30,2.25,4.50
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",188BET,2.20,2.40,4.75
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",18bet,2.20,2.25,4.60
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",888sport,2.20,2.30,4.50
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",Asianodds,2.20,2.35,4.50
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",bet-at-home,2.23,2.43,4.50
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",bet365,2.33,2.45,4.55
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",Betfair,2.32,2.16,4.40
"32    Wacker Innsbruck - Mattersburg
Name: Match, dtype: object",Betfred,2.07,2.48,4.50
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",10Bet,2.60,2.15,3.45
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",12BET,2.70,2.20,3.60
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",188BET,2.75,2.25,3.60
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",18bet,2.70,2.15,3.50
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",888sport,2.70,2.10,3.75
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",Asianodds,2.63,2.29,3.80
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",bet-at-home,2.80,2.31,3.75
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",bet365,2.66,2.17,3.55
"33    AC Wolfsberger - Sturm Graz
Name: Match, dtype: object",Betfair,2.65,2.20,3.65
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",10Bet,2.65,2.20,3.25
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",12BET,2.70,2.25,3.45
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",188BET,2.75,2.30,3.50
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",18bet,2.70,2.20,3.40
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",888sport,2.80,2.25,3.20
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",Asianodds,2.75,2.34,3.45
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",bet-at-home,2.90,2.37,3.48
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",bet365,2.64,2.17,3.55
"34    LASK Linz - Austria Vienna
Name: Match, dtype: object",Betfair,2.65,2.28,3.45
"35    Salzburg - St. Polten
Name: Match, dtype: object",10Bet,1.45,2.95,8.00
"35    Salzburg - St. Polten
Name: Match, dtype: object",12BET,1.51,3.00,9.00
"35    Salzburg - St. Polten
Name: Match, dtype: object",188BET,1.50,3.20,11.00
"35    Salzburg - St. Polten
Name: Match, dtype: object",18bet,1.45,2.90,11.00
"35    Salzburg - St. Polten
Name: Match, dtype: object",888sport,1.50,2.90,10.00
"35    Salzburg - St. Polten
Name: Match, dtype: object",Asianodds,1.51,3.18,9.50
"35    Salzburg - St. Polten
Name: Match, dtype: object",bet-at-home,1.52,3.22,9.69
"35    Salzburg - St. Polten
Name: Match, dtype: object",bet365,1.54,2.92,7.80
"35    Salzburg - St. Polten
Name: Match, dtype: object",Betfair,1.45,3.15,9.00
"37    Amstetten - A. Lustenau
Name: Match, dtype: object",Betfair,2.90,2.20,3.10
"37    Amstetten - A. Lustenau
Name: Match, dtype: object",Betfred,2.95,2.30,3.10
"37    Amstetten - A. Lustenau
Name: Match, dtype: object",BoyleSports,2.84,2.33,3.28
"38    FK Austria Vienna (Am) - Wacker Innsbruck (Am)
Name: Match, dtype: object",Betfair,2.75,2.30,3.10
"38    FK Austria Vienna (Am) - Wacker Innsbruck (Am)
Name: Match, dtype: object",Betfred,2.85,2.35,3.10
"38    FK Austria Vienna (Am) - Wacker Innsbruck (Am)
Name: Match, dtype: object",BetVictor,2.80,2.44,3.13
"40    Horn - Neustadt
Name: Match, dtype: object",Betfair,3.00,2.15,3.10
"40    Horn - Neustadt
Name: Match, dtype: object",Betfred,2.95,2.30,3.10
"40    Horn - Neustadt
Name: Match, dtype: object",BoyleSports,2.90,2.32,3.22
"41    Kapfenberg - FC Juniors
Name: Match, dtype: object",Betfair,2.50,2.25,3.60
"41    Kapfenberg - FC Juniors
Name: Match, dtype: object",Betfred,2.50,2.40,3.50
"41    Kapfenberg - FC Juniors
Name: Match, dtype: object",BetVictor,2.48,2.45,3.64
"42    Lafnitz - Floridsdorfer AC
Name: Match, dtype: object",Betfair,2.30,2.30,3.80
"42    Lafnitz - Floridsdorfer AC
Name: Match, dtype: object",Betfred,2.40,2.30,4.00
"42    Lafnitz - Floridsdorfer AC
Name: Match, dtype: object",BoyleSports,2.35,2.38,4.15
"43    Ried - A. Klagenfurt
Name: Match, dtype: object",Betfair,1.80,2.55,6.50
"43    Ried - A. Klagenfurt
Name: Match, dtype: object",Betfred,1.80,2.50,6.00
"43    Ried - A. Klagenfurt
Name: Match, dtype: object",BetVictor,1.82,2.60,6.00
"43    Ried - A. Klagenfurt
Name: Match, dtype: object",BoyleSports,1.78,2.70,6.45
"44    Vorwarts Steyr - BW Linz
Name: Match, dtype: object",Betfair,2.80,2.25,3.10
"44    Vorwarts Steyr - BW Linz
Name: Match, dtype: object",Betfred,2.80,2.40,3.10
"44    Vorwarts Steyr - BW Linz
Name: Match, dtype: object",BetVictor,2.76,2.43,3.20
"45    Sturm Graz W - Neulengbach W
Name: Match, dtype: object",BoyleSports,1.80,2.60,5.50
"45    Sturm Graz W - Neulengbach W
Name: Match, dtype: object",Marathonbet,1.79,2.83,5.00
"49    Rahmatgonj MFS - Sheikh Jamal
Name: Match, dtype: object",10Bet,3.65,1.91,2.90
